speaker,age,sex,pretest,posttest,learning,rate_sps,f1_M,f1_SD,f1_CoV,f2_M,f2_SD,f2_CoV,vowel_MCV,vowel_sep_MD,vowel_n_tokens,within_variance,between_separation,mean_vowel_cluster_size
F5_31,5,F,76.5346534653465,84.950495049505,8.4158415841585,3.63,833.631585268146,83.2314786154631,10.26666144633,2371.54186758732,265.897166020631,12.0029831955932,0.06668716581487,683.607548484873,19.56,0.06668716581487,683.607548484873,351439.811096037
F5_44,5,F,67.003367003367,65.7502863688431,-1.2530806345239,2.4,773.846238638552,97.7560676101585,11.801168414151,2514.25700300837,209.277448933111,9.35692960385333,0.060793845962487,651.380968825224,16.6129032258065,0.060793845962487,651.380968825224,397409.204131081
F6_26,6,F,77.3267326732673,80.8080808080808,3.4813481348135,2.7,737.215849699862,128.419117041088,15.9997712649298,2401.79199038318,234.060654127525,10.9557212917544,0.0743596736708418,677.20093074417,18.6338028169014,0.0743596736708418,677.20093074417,460346.95422986
F6_28,6,F,72.2772277227723,80.3080308030803,8.030803080308,3.26,752.682398962025,95.2456912419163,12.0027802190632,2358.68418719978,249.74121152279,11.2794322280039,0.0727317137321223,629.760008249835,18.6944444444444,0.0727317137321223,629.760008249835,446327.748073924
F7_21,7,F,67.5645342312009,83.1683168316832,15.6037826004823,3.3,706.274106705609,104.390104067058,14.1589788399287,2392.60462659627,204.361766893058,9.30297137179951,0.0548414915736385,631.700873063078,17.5373134328358,0.0548414915736385,631.700873063078,308963.081032061
F7_36,7,F,80.0224466891134,88.6688668866887,8.64642019757531,3.29,699.403546311416,114.792466985108,15.5073371775577,2344.27330062058,195.464913656887,9.32443550005749,0.073347950408369,689.762369902068,19.027397260274,0.073347950408369,689.762369902068,404146.760320428
F7_39,7,F,83.3883388338834,88.8888888888889,5.50055005500551,3.46,810.348475100926,89.6825944068979,10.0238950495788,2375.97616787557,193.134560748909,8.3311714824812,0.0497747282825206,653.322597119733,19.921052631579,0.0497747282825206,653.322597119733,242515.8551845
F7_43,7,F,86.6336633663366,83.9175257731959,-2.7161375931407,3.61,722.828866632039,115.611190449972,15.3759171686872,2368.69850437861,186.201563548938,8.84716888158208,0.0636359692607486,623.616668098541,19.9333333333333,0.0636359692607486,623.616668098541,362799.358696888
F8_23,8,F,85.4455445544555,89.7224418093983,4.27689725494281,2.7,703.089026365099,94.7102476896681,13.2027199667075,2262.35492927447,203.963246199187,9.81749679802832,0.0681031035455743,575.738537520825,21.0253164556962,0.0681031035455743,575.738537520825,317464.592642863
F8_29,8,F,94.8484848484848,96.8316831683168,1.983198319832,3.44,828.125959444676,79.2778176775645,9.63929039026351,2293.61802172524,199.086659176329,9.38846140942612,0.0628776766750589,657.968978267529,19.2702702702703,0.0628776766750589,657.968978267529,291387.248897723
F8_30,8,F,88.2178217821782,91.4851485148515,3.2673267326733,3.47,777.658519965981,98.6327915378604,12.4474547178578,2279.18874519767,229.341616202099,10.1002243283075,0.0707838168312748,631.123106919584,19.921052631579,0.0707838168312748,631.123106919584,476126.149384724
F8_40,8,F,75,85.8910891089109,10.8910891089109,3.56,670.322266925994,104.985777362176,14.280247962261,2379.7756393895,214.172863849056,9.65274963317973,0.066997921404429,575.297155876045,19.5945945945946,0.066997921404429,575.297155876045,476435.814184274
M4_16,4,M,66.2266226622662,77.4477447744775,11.2211221122113,2.65,727.32865434347,103.258561144968,12.9946843746588,2621.95150091929,272.038998060945,11.2106403743586,0.0628173952031235,475.598506239578,19.64,0.0628173952031235,475.598506239578,478865.169778714
M4_20,4,M,72.2772277227723,83.3097595473833,11.032531824611,2.68,758.272451979059,119.606789787738,15.1382025441239,2171.23971688238,282.3031838516,14.1514514603712,0.106554972569243,837.835806485271,19.2972972972973,0.106554972569243,837.835806485271,564155.395263913
M4_27,4,M,75.3575357535754,79.9102132435466,4.55267748997119,3.06,770.740215222435,114.883279958622,15.1842372084207,2472.32146635863,219.317353452034,9.94259481497812,0.0799796345231832,707.447394674612,21.1772151898734,0.0799796345231832,707.447394674612,403306.26440889
