speaker,age,sex,pretest,posttest,learning,rate_sps,targetStop,stop_n_tokens,vot_M,vot_SD,vot_CoV
M6_02,6,M,78.8118811881188,85.7425742574257,6.9306930693069,3.52,T,18,68.4509867239209,31.9103807493778,46.6178535571444
M6_02,6,M,78.8118811881188,85.7425742574257,6.9306930693069,3.52,K,23,82.7204892598908,37.1659929956035,44.9296097353047
M6_04,6,M,82.6732673267327,83.5855728429986,0.912305516265903,3.13,P,30,60.3996669816021,30.9036038854336,51.1651891968988
M6_04,6,M,82.6732673267327,83.5855728429986,0.912305516265903,3.13,T,18,90.39528041682,60.7655359980896,67.2220227847015
M6_04,6,M,82.6732673267327,83.5855728429986,0.912305516265903,3.13,K,17,85.0113920640735,35.4687703817445,41.722373343812
M6_35,6,M,73.2673267326733,81.980198019802,8.71287128712871,3.46,P,27,79.6290033543843,22.9266263089831,28.7918036685069
M6_35,6,M,73.2673267326733,81.980198019802,8.71287128712871,3.46,T,16,75.896669498851,33.2278205652771,43.7803408037294
M6_35,6,M,73.2673267326733,81.980198019802,8.71287128712871,3.46,K,20,97.1763659293103,38.4852216054447,39.6034789296816
M7_18,7,M,75.940594059406,77.6237623762376,1.6831683168316,3.41,P,26,36.5071923198256,12.9474293358542,35.4654206832088
M7_18,7,M,75.940594059406,77.6237623762376,1.6831683168316,3.41,T,15,57.4094978104679,19.1506240935122,33.3579369684372
M7_18,7,M,75.940594059406,77.6237623762376,1.6831683168316,3.41,K,21,73.1436702957908,36.7561464290353,50.2519852782811
M7_24,7,M,87.0049504950495,94.9257425742574,7.9207920792079,3.31,P,29,53.7502637751786,21.2061372814337,39.4530850492802
M7_24,7,M,87.0049504950495,94.9257425742574,7.9207920792079,3.31,T,17,104.955689836782,48.8667819722541,46.5594405107979
M7_24,7,M,87.0049504950495,94.9257425742574,7.9207920792079,3.31,K,21,69.7694086342894,24.1933686169868,34.6761841479856
M8_05,8,M,81.0891089108911,87.4257425742574,6.3366336633663,3.95,P,26,55.8390054018916,17.0489718637538,30.5323702330419
M8_05,8,M,81.0891089108911,87.4257425742574,6.3366336633663,3.95,T,17,78.9348261438252,22.8507149770841,28.9488380394331
M8_05,8,M,81.0891089108911,87.4257425742574,6.3366336633663,3.95,K,21,76.7636578111389,20.4522921644348,26.6431964651208
