"speaker","targetStop","n","skew","mean_minus_median","shapiro_p"
"M6_35","P",27,0.315729709714696,2.39624565303158,0.441915250176389
"M6_35","T",16,0.95216317350301,5.6507693589276,0.0857163710929344
"M6_35","K",20,0.364215172754705,10.6130707837011,0.617066359183593
"M7_18","P",26,-0.0822318211614483,-0.45574573732187,0.925008865013321
"M7_18","T",15,-0.520657033414118,1.14545905678618,0.14017772498237
"M7_18","K",21,1.39291079698121,2.92113697395145,0.00794013902069876
"M7_24","P",29,1.15234865109764,4.55171851655933,0.0102700455108197
"M7_24","T",17,1.64242810150639,14.1862807549665,0.000491857444670925
"M7_24","K",21,0.662702409951602,4.17134828946379,0.350049172771317
"M8_05","P",26,0.572516687956882,4.63859361425859,0.423744231661247
"M8_05","T",17,-0.480685935464843,3.18372038363488,0.486957469082397
"M8_05","K",21,0.827154811529147,0.874286894845596,0.0316654658582227
